0.568  0.023  0.005
0.524  0.005  0.025
0.473  0.061  0.077
0.587  0.085  0.033
0.598  0.088  0.116
0.532  0.038  0.050
0.487  0.043  0.064
0.587  0.016  0.052
0.558 -0.043  0.053
0.598  0.014  0.135
0.568  0.012  0.031
0.568 -0.023  0.032
0.516  0.026  0.031
0.524  0.026  0.112
0.598  0.007  0.140
0.501  0.055  0.079
0.494  0.014  0.139
0.568  0.008  0.134
0.516  0.048  0.095
0.532  0.010  0.053
0.532 -0.013  0.112
0.532  0.006  0.122
0.501 -0.011  0.019
0.487  0.052  0.003
0.494  0.051  0.083
0.568  0.045  0.070
0.524  0.057  0.035
0.516  0.057  0.118
0.532  0.071  0.089
0.532  0.044  0.041
0.532  0.071  0.031
0.532  0.050  0.043
0.508  0.042  0.036
0.532  0.049  0.046
0.524  0.048  0.046
0.549  0.054  0.053
0.558  0.049  0.137
0.487  0.051  0.081
0.558 -0.034  0.023
0.587 -0.007  0.123
0.587  0.020  0.156
0.558  0.002  0.153
0.577  0.004  0.169
0.541 -0.008  0.080
0.494  0.015  0.070
0.494  0.015  0.044
0.494  0.005  0.132
0.541  0.011  0.063
0.558  0.018  0.077
0.541  0.033  0.050
0.549  0.038  0.136
0.549  0.056  0.045
0.508  0.037  0.054
0.516  0.033  0.045
0.494  0.064  0.047
0.508  0.043  0.104
0.577  0.050  0.112
0.480  0.048  0.042
0.494  0.056  0.101
0.541 -0.014  0.092
0.532 -0.013  0.111
0.568 -0.017  0.063
0.568 -0.015  0.143
0.508  0.003  0.034
0.480  0.053  0.044
0.524  0.011  0.034
0.494  0.058  0.043
0.558 -0.012  0.120
0.516  0.017  0.123
0.501  0.062  0.134
0.516 -0.004  0.001
0.516 -0.003  0.075
0.487  0.025  0.025
0.473  0.062  0.040
0.598  0.058  0.166
0.494  0.046  0.133
0.501  0.050  0.140
0.487  0.048  0.101
0.508  0.051  0.140
0.516  0.072  0.150
0.549  0.058  0.144
0.598 -0.030  0.076
0.568  0.012  0.058
0.568  0.011  0.080
0.568  0.013  0.157
0.568  0.014  0.142
0.587  0.024  0.038
0.568  0.015  0.142
0.598  0.021  0.061
0.598  0.022  0.033
0.598  0.022  0.010
0.598  0.022  0.084
0.598  0.022  0.137
0.541  0.008  0.042
0.541  0.009  0.066
0.541  0.009  0.093
0.541  0.010  0.118
0.541  0.010  0.144
0.494  0.004  0.023
0.494  0.004  0.046
0.494  0.004  0.071
0.494  0.004  0.097
0.494  0.005  0.121
0.494  0.005  0.146
0.516  0.015  0.029
0.516  0.016  0.052
0.516  0.016  0.077
0.516  0.017  0.102
0.516  0.017  0.128
0.516  0.018  0.152
0.549  0.018  0.029
0.549  0.019  0.053
0.549  0.019  0.078
0.549  0.020  0.103
0.549  0.020  0.129
0.549  0.021  0.153
0.577  0.019  0.033
0.577  0.020  0.059
0.577  0.020  0.086
0.577  0.021  0.112
0.577  0.021  0.138
0.577  0.022  0.164
0.480  0.032  0.028
0.480  0.032  0.052
0.480  0.033  0.078
0.480  0.033  0.104
0.480  0.034  0.130
0.480  0.034  0.155
0.501  0.033  0.028
0.501  0.034  0.053
0.501  0.034  0.079
0.501  0.035  0.105
0.501  0.035  0.131
0.501  0.036  0.156
0.524  0.034  0.028
0.524  0.035  0.054
0.524  0.035  0.080
0.524  0.036  0.106
0.524  0.036  0.132
0.524  0.037  0.157
0.541  0.034  0.029
0.541  0.035  0.055
0.541  0.035  0.081
0.541  0.036  0.107
0.541  0.036  0.133
0.541  0.037  0.158
0.558  0.035  0.030
0.558  0.036  0.056
0.558  0.036  0.082
0.558  0.037  0.108
0.558  0.037  0.134
0.558  0.038  0.159
0.568  0.036  0.031
0.568  0.037  0.057
0.568  0.037  0.083
0.568  0.038  0.109
0.568  0.038  0.135
0.568  0.039  0.160
0.587  0.037  0.032
0.587  0.038  0.058
0.587  0.038  0.084
0.587  0.039  0.110
0.587  0.039  0.136
0.587  0.040  0.161
0.598  0.038  0.033
0.598  0.039  0.059
0.598  0.039  0.085
0.598  0.040  0.111
0.598  0.040  0.137
0.598  0.041  0.162
0.473  0.060  0.034
0.473  0.061  0.060
0.473  0.061  0.086
0.473  0.062  0.112
0.473  0.062  0.138
0.473  0.063  0.163
0.487  0.060  0.034
0.487  0.061  0.060
0.487  0.061  0.086
0.487  0.062  0.112
0.487  0.062  0.138
0.487  0.063  0.163
